candidate,model_type,features,validation_season,rho,accuracy,macro_f1,log_loss,brier_score,ece,draw_recall,draw_prediction_rate,home_goal_mae,away_goal_mae,mean_goal_mae,home_poisson_deviance,away_poisson_deviance
poisson_linear,linear,155,2018,-0.1,0.5842105263157895,0.42175602175602184,0.904008573657497,0.5300494110078952,0.04988364167675771,0.0,0.0,0.9102797715262824,0.8531450368944119,0.8817124042103471,1.028264928148528,1.119449765367434
poisson_linear,linear,155,2018,-0.05,0.5842105263157895,0.42175602175602184,0.9009445272598527,0.5282271849689579,0.0662839814003101,0.0,0.0,0.9102797715262824,0.8531450368944119,0.8817124042103471,1.028264928148528,1.119449765367434
poisson_linear,linear,155,2018,0.0,0.5842105263157895,0.42175602175602184,0.8984732130394217,0.5267702565955327,0.05210106538857117,0.0,0.0,0.9102797715262824,0.8531450368944119,0.8817124042103471,1.028264928148528,1.119449765367434
poisson_linear,linear,155,2018,0.05,0.5842105263157895,0.42175602175602184,0.8966219065483644,0.5256786258876196,0.050655480365372145,0.0,0.0,0.9102797715262824,0.8531450368944119,0.8817124042103471,1.028264928148528,1.119449765367434
poisson_linear,linear,155,2018,0.1,0.5842105263157895,0.42175602175602184,0.895424307467089,0.5249522928452184,0.04346569996883409,0.0,0.0,0.9102797715262824,0.8531450368944119,0.8817124042103471,1.028264928148528,1.119449765367434
poisson_linear,linear,155,2019,-0.1,0.5263157894736842,0.38562636489974195,0.9774272284008543,0.5780487004989959,0.031625293039465756,0.0,0.0,0.9186890111973401,0.8342578913829656,0.8764734512901529,1.0356631797577036,1.1345206317981122
poisson_linear,linear,155,2019,-0.05,0.5263157894736842,0.38562636489974195,0.9768527261133552,0.5780369287156941,0.026367310575379097,0.0,0.0,0.9186890111973401,0.8342578913829656,0.8764734512901529,1.0356631797577036,1.1345206317981122
poisson_linear,linear,155,2019,0.0,0.5263157894736842,0.38562636489974195,0.9769990455318838,0.5783988358560956,0.03199035367132099,0.0,0.0,0.9186890111973401,0.8342578913829656,0.8764734512901529,1.0356631797577036,1.1345206317981122
poisson_linear,linear,155,2019,0.05,0.5263157894736842,0.38562636489974195,0.9779031516232978,0.5791344219202005,0.03228326953224556,0.0,0.0,0.9186890111973401,0.8342578913829656,0.8764734512901529,1.0356631797577036,1.1345206317981122
poisson_linear,linear,155,2019,0.1,0.5263157894736842,0.38562636489974195,0.979610336207538,0.5802436869080085,0.03598591926041656,0.0,0.0,0.9186890111973401,0.8342578913829656,0.8764734512901529,1.0356631797577036,1.1345206317981122
poisson_linear,linear,155,2020,-0.1,0.48947368421052634,0.3591863823070438,1.0305852420978827,0.6125867130923521,0.0379366543048361,0.0,0.0,0.9614719629258963,0.9357763178742449,0.9486241404000706,1.259617264895083,1.2717143104352984
poisson_linear,linear,155,2020,-0.05,0.48947368421052634,0.3591863823070438,1.0272785253561636,0.6112302360170727,0.04592626654811027,0.0,0.0,0.9614719629258963,0.9357763178742449,0.9486241404000706,1.259617264895083,1.2717143104352984
poisson_linear,linear,155,2020,0.0,0.48947368421052634,0.3591863823070438,1.0246940958226718,0.6102699131687518,0.04284273133566125,0.0,0.0,0.9614719629258963,0.9357763178742449,0.9486241404000706,1.259617264895083,1.2717143104352984
poisson_linear,linear,155,2020,0.05,0.48947368421052634,0.3591863823070438,1.0228605695456643,0.6097057445473892,0.05055014256899976,0.0,0.0,0.9614719629258963,0.9357763178742449,0.9486241404000706,1.259617264895083,1.2717143104352984
poisson_linear,linear,155,2020,0.1,0.48947368421052634,0.3591863823070438,1.0218144964461642,0.6095377301529852,0.05578780976610487,0.0,0.0,0.9614719629258963,0.9357763178742449,0.9486241404000706,1.259617264895083,1.2717143104352984
poisson_linear,linear,155,2021,-0.1,0.5605263157894737,0.41791584998144243,0.9637138011144456,0.5726532551030508,0.044223027852891554,0.0,0.0,0.9498604663651731,0.9082027235257256,0.9290315949454493,1.0961676452368154,1.1960065726968514
poisson_linear,linear,155,2021,-0.05,0.5605263157894737,0.41791584998144243,0.9628509612921285,0.5720700069571277,0.052294479786855357,0.0,0.0,0.9498604663651731,0.9082027235257256,0.9290315949454493,1.0961676452368154,1.1960065726968514
poisson_linear,linear,155,2021,0.0,0.5605263157894737,0.41791584998144243,0.9626681993008214,0.5718597925798151,0.038065909904367486,0.0,0.0,0.9498604663651731,0.9082027235257256,0.9290315949454493,1.0961676452368154,1.1960065726968514
poisson_linear,linear,155,2021,0.05,0.5605263157894737,0.41791584998144243,0.9632022095137397,0.5720226119711133,0.0421220898092221,0.0,0.0,0.9498604663651731,0.9082027235257256,0.9290315949454493,1.0961676452368154,1.1960065726968514
poisson_linear,linear,155,2021,0.1,0.5605263157894737,0.41791584998144243,0.9644974483674732,0.5725584651310218,0.043340540598552454,0.0,0.0,0.9498604663651731,0.9082027235257256,0.9290315949454493,1.0961676452368154,1.1960065726968514
poisson_linear,linear,155,2022,-0.1,0.5394736842105263,0.39078189616050824,0.9751094426140373,0.5803088564704985,0.04336575160650611,0.0,0.0,0.9889326720324569,0.9151701522995417,0.9520514121659993,1.1499272024172233,1.237232451433041
poisson_linear,linear,155,2022,-0.05,0.5394736842105263,0.39078189616050824,0.9739702813908974,0.5795503289929334,0.04445330449277286,0.0,0.0,0.9889326720324569,0.9151701522995417,0.9520514121659993,1.1499272024172233,1.237232451433041
poisson_linear,linear,155,2022,0.0,0.5394736842105263,0.39078189616050824,0.9735099213049293,0.5791655721826187,0.038210577414237924,0.0,0.0,0.9889326720324569,0.9151701522995417,0.9520514121659993,1.1499272024172233,1.237232451433041
poisson_linear,linear,155,2022,0.05,0.5394736842105263,0.39078189616050824,0.9737643762618551,0.5791545860395545,0.03651328115094938,0.0,0.0,0.9889326720324569,0.9151701522995417,0.9520514121659993,1.1499272024172233,1.237232451433041
poisson_linear,linear,155,2022,0.1,0.5394736842105263,0.39078189616050824,0.9747773728683503,0.579517370563741,0.035686931992236916,0.0,0.0,0.9889326720324569,0.9151701522995417,0.9520514121659993,1.1499272024172233,1.237232451433041
poisson_linear,linear,155,2023,-0.1,0.5868421052631579,0.4315253003276301,0.925425097102809,0.5446770685335193,0.044923169601371875,0.0,0.0,1.0065665621253752,0.9179456433578794,0.9622561027416273,1.056627141053052,1.0847441646076343
poisson_linear,linear,155,2023,-0.05,0.5868421052631579,0.4315253003276301,0.9246149695200772,0.5440608443836199,0.03975789401989716,0.0,0.0,1.0065665621253752,0.9179456433578794,0.9622561027416273,1.056627141053052,1.0847441646076343
poisson_linear,linear,155,2023,0.0,0.5868421052631579,0.4315253003276301,0.9244148786804224,0.5437774327936254,0.03781327101268099,0.0,0.0,1.0065665621253752,0.9179456433578794,0.9622561027416273,1.056627141053052,1.0847441646076343
poisson_linear,linear,155,2023,0.05,0.5868421052631579,0.4315253003276301,0.924858570605489,0.5438268337635364,0.03463417719088753,0.0,0.0,1.0065665621253752,0.9179456433578794,0.9622561027416273,1.056627141053052,1.0847441646076343
poisson_linear,linear,155,2023,0.1,0.5868421052631579,0.4315253003276301,0.9259866563373523,0.5442090472933525,0.03537606291181817,0.0,0.0,1.0065665621253752,0.9179456433578794,0.9622561027416273,1.056627141053052,1.0847441646076343
poisson_linear_decay5,linear,155,2018,-0.1,0.5763157894736842,0.41382794457274824,0.9021586464563884,0.5286865957130416,0.0672558071512566,0.0,0.0,0.9103850306146022,0.8540045736182326,0.8821948021164174,1.026835209561173,1.1241703464340649
poisson_linear_decay5,linear,155,2018,-0.05,0.5763157894736842,0.41382794457274824,0.89909130548775,0.5268263111639527,0.07272964775420016,0.0,0.0,0.9103850306146022,0.8540045736182326,0.8821948021164174,1.026835209561173,1.1241703464340649
poisson_linear_decay5,linear,155,2018,0.0,0.5763157894736842,0.41382794457274824,0.8966145099775676,0.5253311505062964,0.07388578260969847,0.0,0.0,0.9103850306146022,0.8540045736182326,0.8821948021164174,1.026835209561173,1.1241703464340649
poisson_linear_decay5,linear,155,2018,0.05,0.5763157894736842,0.41382794457274824,0.8947551730283315,0.5242011137400727,0.06847339325773988,0.0,0.0,0.9103850306146022,0.8540045736182326,0.8821948021164174,1.026835209561173,1.1241703464340649
poisson_linear_decay5,linear,155,2018,0.1,0.5763157894736842,0.41382794457274824,0.8935465734518289,0.5234362008652813,0.07077257184982876,0.0,0.0,0.9103850306146022,0.8540045736182326,0.8821948021164174,1.026835209561173,1.1241703464340649
poisson_linear_decay5,linear,155,2019,-0.1,0.5342105263157895,0.3942738276579365,0.9783904279759201,0.5787431801671729,0.02139227518060238,0.0,0.0,0.9263365297064329,0.8315622593611866,0.8789493945338097,1.042281318138473,1.1276036304930739
poisson_linear_decay5,linear,155,2019,-0.05,0.5342105263157895,0.3942738276579365,0.9778168811613903,0.5787164461025768,0.017588292391627913,0.0,0.0,0.9263365297064329,0.8315622593611866,0.8789493945338097,1.042281318138473,1.1276036304930739
poisson_linear_decay5,linear,155,2019,0.0,0.5342105263157895,0.3942738276579365,0.9779613214485778,0.5790613247248522,0.02472232333264562,0.0,0.0,0.9263365297064329,0.8315622593611866,0.8789493945338097,1.042281318138473,1.1276036304930739
poisson_linear_decay5,linear,155,2019,0.05,0.5342105263157895,0.3942738276579365,0.9788603473948118,0.5797778160339996,0.032948506794194074,0.0,0.0,0.9263365297064329,0.8315622593611866,0.8789493945338097,1.042281318138473,1.1276036304930739
poisson_linear_decay5,linear,155,2019,0.1,0.5342105263157895,0.3942738276579365,0.9805588270302138,0.5808659200300185,0.03557515163325522,0.0,0.0,0.9263365297064329,0.8315622593611866,0.8789493945338097,1.042281318138473,1.1276036304930739
poisson_linear_decay5,linear,155,2020,-0.1,0.4789473684210526,0.347984347984348,1.039938770606122,0.6182887701240931,0.04164722009666891,0.0,0.0,0.9649049456278922,0.9419658446688789,0.9534353951483856,1.26535355571067,1.2944935232910961
poisson_linear_decay5,linear,155,2020,-0.05,0.4789473684210526,0.347984347984348,1.0363552106767069,0.6168848426439297,0.05332296937385948,0.0,0.0,0.9649049456278922,0.9419658446688789,0.9534353951483856,1.26535355571067,1.2944935232910961
poisson_linear_decay5,linear,155,2020,0.0,0.4789473684210526,0.347984347984348,1.0335038865579784,0.6158772781664831,0.06075827223008835,0.0,0.0,0.9649049456278922,0.9419658446688789,0.9534353951483856,1.26535355571067,1.2944935232910961
poisson_linear_decay5,linear,155,2020,0.05,0.4789473684210526,0.347984347984348,1.0314118493017532,0.6152660766917534,0.06709321033772772,0.0,0.0,0.9649049456278922,0.9419658446688789,0.9534353951483856,1.26535355571067,1.2944935232910961
poisson_linear_decay5,linear,155,2020,0.1,0.4789473684210526,0.347984347984348,1.0301141185014102,0.6150512382197404,0.06814104174390839,0.0,0.0,0.9649049456278922,0.9419658446688789,0.9534353951483856,1.26535355571067,1.2944935232910961
poisson_linear_decay5,linear,155,2021,-0.1,0.5631578947368421,0.42085637252661884,0.9626365925383105,0.5718879429104184,0.04312627072915717,0.0,0.0,0.9439227953670126,0.9130769261460252,0.9284998607565189,1.0914821578153573,1.1988681777187538
poisson_linear_decay5,linear,155,2021,-0.05,0.5631578947368421,0.42085637252661884,0.9618174196392439,0.5713350063652749,0.0372067263950642,0.0,0.0,0.9439227953670126,0.9130769261460252,0.9284998607565189,1.0914821578153573,1.1988681777187538
poisson_linear_decay5,linear,155,2021,0.0,0.5631578947368421,0.42085637252661884,0.9616726422806939,0.5711538125960097,0.04244443764189332,0.0,0.0,0.9439227953670126,0.9130769261460252,0.9284998607565189,1.0914821578153573,1.1988681777187538
poisson_linear_decay5,linear,155,2021,0.05,0.5631578947368421,0.42085637252661884,0.9622389735047143,0.5713443616026229,0.0402078253256836,0.0,0.0,0.9439227953670126,0.9130769261460252,0.9284998607565189,1.0914821578153573,1.1988681777187538
poisson_linear_decay5,linear,155,2021,0.1,0.5631578947368421,0.42085637252661884,0.9635607837231305,0.5719066533851144,0.0357863532892097,0.0,0.0,0.9439227953670126,0.9130769261460252,0.9284998607565189,1.0914821578153573,1.1988681777187538
poisson_linear_decay5,linear,155,2022,-0.1,0.5447368421052632,0.3978810843418919,0.9759067010820958,0.5811990941885042,0.0365822162362012,0.0,0.0,0.9856305465807829,0.9170164144695322,0.9513234805251576,1.1488558539719045,1.2389119638581143
poisson_linear_decay5,linear,155,2022,-0.05,0.5447368421052632,0.3978810843418919,0.9747859227881136,0.580408598708395,0.032813090212928754,0.0,0.0,0.9856305465807829,0.9170164144695322,0.9513234805251576,1.1488558539719045,1.2389119638581143
poisson_linear_decay5,linear,155,2022,0.0,0.5447368421052632,0.3978810843418919,0.9743395508384373,0.5799920212205832,0.032786957177194,0.0,0.0,0.9856305465807829,0.9170164144695322,0.9513234805251576,1.1488558539719045,1.2389119638581143
poisson_linear_decay5,linear,155,2022,0.05,0.5447368421052632,0.3978810843418919,0.9746038305199309,0.579949361725069,0.03184614848201074,0.0,0.0,0.9856305465807829,0.9170164144695322,0.9513234805251576,1.1488558539719045,1.2389119638581143
poisson_linear_decay5,linear,155,2022,0.1,0.5447368421052632,0.3978810843418919,0.9756226273665884,0.5802806202218519,0.03571047000414331,0.0,0.0,0.9856305465807829,0.9170164144695322,0.9513234805251576,1.1488558539719045,1.2389119638581143
poisson_linear_decay5,linear,155,2023,-0.1,0.5842105263157895,0.42885375494071143,0.9244701481294955,0.5443334187438562,0.04520256566184613,0.0,0.0,1.0076512978252077,0.918357228678641,0.9630042632519243,1.056390213754735,1.0835499322219386
poisson_linear_decay5,linear,155,2023,-0.05,0.5842105263157895,0.42885375494071143,0.9237903663403834,0.5437480316727733,0.04693298274561073,0.0,0.0,1.0076512978252077,0.918357228678641,0.9630042632519243,1.056390213754735,1.0835499322219386
poisson_linear_decay5,linear,155,2023,0.0,0.5842105263157895,0.42885375494071143,0.9237071197493223,0.5434874030618551,0.03436372715451284,0.0,0.0,1.0076512978252077,0.918357228678641,0.9630042632519243,1.056390213754735,1.0835499322219386
poisson_linear_decay5,linear,155,2023,0.05,0.5842105263157895,0.42885375494071143,0.9242539179933691,0.5435515329111016,0.028726358883353884,0.0,0.0,1.0076512978252077,0.918357228678641,0.9630042632519243,1.056390213754735,1.0835499322219386
poisson_linear_decay5,linear,155,2023,0.1,0.5842105263157895,0.42885375494071143,0.9254709066656727,0.5439404212205128,0.02555761766079985,0.0,0.0,1.0076512978252077,0.918357228678641,0.9630042632519243,1.056390213754735,1.0835499322219386
poisson_xgb_depth2,xgboost,155,2018,-0.1,0.5921052631578947,0.4276555625392835,0.9153519707904649,0.5374708552035973,0.05362222741959283,0.0,0.0,0.9305639863014221,0.8630986213684082,0.8968313038349152,1.0544946193695068,1.1355303525924683
poisson_xgb_depth2,xgboost,155,2018,-0.05,0.5921052631578947,0.4276555625392835,0.9121248073374141,0.5355256752886891,0.0529853546071009,0.0,0.0,0.9305639863014221,0.8630986213684082,0.8968313038349152,1.0544946193695068,1.1355303525924683
poisson_xgb_depth2,xgboost,155,2018,0.0,0.5921052631578947,0.4276555625392835,0.9094904481443561,0.533949980208218,0.060406180530720936,0.0,0.0,0.9305639863014221,0.8630986213684082,0.8968313038349152,1.0544946193695068,1.1355303525924683
poisson_xgb_depth2,xgboost,155,2018,0.05,0.5921052631578947,0.4276555625392835,0.907476471394941,0.5327437695213282,0.058283659346500226,0.0,0.0,0.9305639863014221,0.8630986213684082,0.8968313038349152,1.0544946193695068,1.1355303525924683
poisson_xgb_depth2,xgboost,155,2018,0.1,0.5921052631578947,0.4276555625392835,0.9061168005332466,0.5319070440463889,0.06416956936824926,0.0,0.0,0.9305639863014221,0.8630986213684082,0.8968313038349152,1.0544946193695068,1.1355303525924683
poisson_xgb_depth2,xgboost,155,2019,-0.1,0.5184210526315789,0.3805494041969841,0.9869536989891237,0.5844057197262141,0.024671380753418275,0.0,0.0,0.9162792563438416,0.8417084813117981,0.8789938688278198,1.0335620641708374,1.1436495780944824
poisson_xgb_depth2,xgboost,155,2019,-0.05,0.5184210526315789,0.3805494041969841,0.9861661213855718,0.5843287497996225,0.03288791538123686,0.0,0.0,0.9162792563438416,0.8417084813117981,0.8789938688278198,1.0335620641708374,1.1436495780944824
poisson_xgb_depth2,xgboost,155,2019,0.0,0.5184210526315789,0.3805494041969841,0.9861059415669073,0.5846287522213541,0.028762910268812305,0.0,0.0,0.9162792563438416,0.8417084813117981,0.8789938688278198,1.0335620641708374,1.1436495780944824
poisson_xgb_depth2,xgboost,155,2019,0.05,0.5184210526315789,0.3805494041969841,0.9868096675990718,0.5853057277047571,0.032632614844301654,0.0,0.0,0.9162792563438416,0.8417084813117981,0.8789938688278198,1.0335620641708374,1.1436495780944824
poisson_xgb_depth2,xgboost,155,2019,0.1,0.5184210526315789,0.3805494041969841,0.988322164165972,0.5863596749114411,0.0399982533985021,0.0,0.0,0.9162792563438416,0.8417084813117981,0.8789938688278198,1.0335620641708374,1.1436495780944824
poisson_xgb_depth2,xgboost,155,2020,-0.1,0.48947368421052634,0.3591863823070438,1.0234601024738263,0.6081152804314067,0.03393364718504068,0.0,0.0,0.9638509750366211,0.9327493906021118,0.9483001828193665,1.258088231086731,1.2727572917938232
poisson_xgb_depth2,xgboost,155,2020,-0.05,0.48947368421052634,0.3591863823070438,1.0203593828985789,0.6069291905439594,0.04356306036076288,0.0,0.0,0.9638509750366211,0.9327493906021118,0.9483001828193665,1.258088231086731,1.2727572917938232
poisson_xgb_depth2,xgboost,155,2020,0.0,0.48947368421052634,0.3591863823070438,1.0179733008212746,0.6061317554357802,0.045140650472009554,0.0,0.0,0.9638509750366211,0.9327493906021118,0.9483001828193665,1.258088231086731,1.2727572917938232
poisson_xgb_depth2,xgboost,155,2020,0.05,0.48947368421052634,0.3591863823070438,1.016331557121457,0.6057229748912829,0.04874688519895632,0.0,0.0,0.9638509750366211,0.9327493906021118,0.9483001828193665,1.258088231086731,1.2727572917938232
poisson_xgb_depth2,xgboost,155,2020,0.1,0.48947368421052634,0.3591863823070438,1.0154716555343934,0.6057028492770758,0.05884904248811505,0.0,0.0,0.9638509750366211,0.9327493906021118,0.9483001828193665,1.258088231086731,1.2727572917938232
poisson_xgb_depth2,xgboost,155,2021,-0.1,0.5736842105263158,0.42902518595047673,0.9607806114569549,0.5694142175597567,0.059535437497469514,0.0,0.0,0.9466686844825745,0.9077014923095703,0.9271850883960724,1.0892610549926758,1.1939964294433594
poisson_xgb_depth2,xgboost,155,2021,-0.05,0.5736842105263158,0.42902518595047673,0.9599430266942426,0.56885822493668,0.06918485511150187,0.0,0.0,0.9466686844825745,0.9077014923095703,0.9271850883960724,1.0892610549926758,1.1939964294433594
poisson_xgb_depth2,xgboost,155,2021,0.0,0.5736842105263158,0.42902518595047673,0.9597875899108331,0.5686747228242751,0.07082327535513615,0.0,0.0,0.9466686844825745,0.9077014923095703,0.9271850883960724,1.0892610549926758,1.1939964294433594
poisson_xgb_depth2,xgboost,155,2021,0.05,0.5736842105263158,0.42902518595047673,0.9603510374293642,0.5688637117645916,0.0550830103449016,0.0,0.0,0.9466686844825745,0.9077014923095703,0.9271850883960724,1.0892610549926758,1.1939964294433594
poisson_xgb_depth2,xgboost,155,2021,0.1,0.5736842105263158,0.42902518595047673,0.9616779014263787,0.5694251915261521,0.034772345186862154,0.0,0.0,0.9466686844825745,0.9077014923095703,0.9271850883960724,1.0892610549926758,1.1939964294433594
poisson_xgb_depth2,xgboost,155,2022,-0.1,0.5526315789473685,0.3985158482100055,0.9678357207114782,0.5749822163642,0.052437139814873704,0.0,0.0,0.9876372218132019,0.9096341729164124,0.9486356973648071,1.1436121463775635,1.2338459491729736
poisson_xgb_depth2,xgboost,155,2022,-0.05,0.5526315789473685,0.3985158482100055,0.9668007624117844,0.5742852601102902,0.05012616739456258,0.0,0.0,0.9876372218132019,0.9096341729164124,0.9486356973648071,1.1436121463775635,1.2338459491729736
poisson_xgb_depth2,xgboost,155,2022,0.0,0.5526315789473685,0.3985158482100055,0.9664419458542891,0.5739587926345529,0.04673613604368189,0.0,0.0,0.9876372218132019,0.9096341729164124,0.9486356973648071,1.1436121463775635,1.2338459491729736
poisson_xgb_depth2,xgboost,155,2022,0.05,0.5526315789473685,0.3985158482100055,0.9667953406139167,0.5740028143794091,0.03761669686882343,0.0,0.0,0.9876372218132019,0.9096341729164124,0.9486356973648071,1.1436121463775635,1.2338459491729736
