validation_season,classifier_weight,poisson_weight,accuracy,macro_f1,log_loss,brier_score,ece,draw_recall,draw_prediction_rate,actual_draw_rate,mean_draw_probability
2018,0.0,1.0,0.5815789473684211,0.41940678219747984,0.9023969381274864,0.5295898348631503,0.031856458707819654,0.0,0.0,0.1868421052631579,0.2189072392648185
2018,0.05,0.95,0.5815789473684211,0.4190362779060816,0.9024146853483094,0.5295899857182069,0.031648591499741384,0.0,0.0,0.1868421052631579,0.22104379271321775
2018,0.1,0.9,0.5815789473684211,0.4184209732404139,0.9025320121603108,0.5296445546229815,0.039315204411837223,0.0,0.0,0.1868421052631579,0.22318034616161697
2018,0.15000000000000002,0.85,0.5815789473684211,0.4184209732404139,0.9027474086952171,0.5297535415774741,0.04516618024119251,0.0,0.0,0.1868421052631579,0.22531689961001625
2018,0.2,0.8,0.5842105263157895,0.4210456451564244,0.9030596224058292,0.5299169465816849,0.03680667885264805,0.0,0.0,0.1868421052631579,0.22745345305841547
2018,0.25,0.75,0.5842105263157895,0.4210456451564244,0.9034676417429602,0.5301347696356136,0.03601181224499332,0.0,0.0,0.1868421052631579,0.22959000650681471
2018,0.30000000000000004,0.7,0.5842105263157895,0.4210456451564244,0.9039706833766661,0.5304070107392601,0.04252242222076962,0.0,0.0,0.1868421052631579,0.23172655995521393
2018,0.35000000000000003,0.6499999999999999,0.5815789473684211,0.4192705039004849,0.9045681825734843,0.5307336698926248,0.04211721856023052,0.0,0.0,0.1868421052631579,0.23386311340361315
2018,0.4,0.6,0.5815789473684211,0.4192705039004849,0.9052597864590143,0.5311147470957075,0.03794434918559132,0.0,0.0,0.1868421052631579,0.23599966685201246
2018,0.45,0.55,0.5842105263157895,0.4210456451564244,0.9060453499973686,0.5315502423485082,0.03595440462940545,0.0,0.0,0.1868421052631579,0.23813622030041168
2018,0.5,0.5,0.5815789473684211,0.4186580604610122,0.9069249346128252,0.5320401556510269,0.038108875849406934,0.0,0.0,0.1868421052631579,0.2402727737488109
2018,0.55,0.44999999999999996,0.5789473684210527,0.41677588466579296,0.907898809470681,0.5325844870032636,0.03733202822861364,0.0,0.002631578947368421,0.1868421052631579,0.24240932719721017
2018,0.6000000000000001,0.3999999999999999,0.5763157894736842,0.41552977177100603,0.9089674555300896,0.5331832364052184,0.03253228939023694,0.0,0.005263157894736842,0.1868421052631579,0.24454588064560936
2018,0.65,0.35,0.5789473684210527,0.43252489540192557,0.9101315725883841,0.533836403856891,0.03924900134033131,0.028169014084507043,0.015789473684210527,0.1868421052631579,0.2466824340940086
