candidate,model_type,feature_set,features,validation_season,accuracy,macro_f1,log_loss,brier_score,ece,draw_recall,draw_prediction_rate
lr_full,logistic,full,243,2018,0.5631578947368421,0.43491065189178396,0.9261428060594701,0.5419542722859993,0.037740932173453465,0.056338028169014086,0.034210526315789476
lr_full,logistic,full,243,2019,0.5210526315789473,0.40559616541535126,0.9843172515596341,0.5831148271921535,0.08279214858582182,0.03260869565217391,0.03684210526315789
lr_full,logistic,full,243,2020,0.4921052631578947,0.39184124600791265,1.060379563074729,0.6278464909590395,0.08108000290586462,0.060240963855421686,0.034210526315789476
lr_full,logistic,full,243,2021,0.531578947368421,0.42903342903342906,0.980157521346629,0.5794454637774009,0.02416850486051817,0.056818181818181816,0.060526315789473685
lr_full,logistic,full,243,2022,0.5447368421052632,0.42601471828771825,0.9898342652384993,0.5884609385242229,0.08524120332840963,0.05747126436781609,0.021052631578947368
lr_full,logistic,full,243,2023,0.5736842105263158,0.4384746950898743,0.942415413630535,0.5546743625529317,0.03933083143717482,0.024390243902439025,0.02368421052631579
lr_compact,logistic,compact,63,2018,0.5789473684210527,0.4246621918623302,0.9115934977315517,0.5347396412134268,0.0319942832173626,0.014084507042253521,0.005263157894736842
lr_compact,logistic,compact,63,2019,0.5157894736842106,0.39337272838054976,0.9831219129361345,0.5828279850847304,0.07129241641977703,0.021739130434782608,0.015789473684210527
lr_compact,logistic,compact,63,2020,0.49473684210526314,0.37079122418388266,1.043340065152007,0.6181066616902836,0.04999411091100842,0.012048192771084338,0.010526315789473684
lr_compact,logistic,compact,63,2021,0.5710526315789474,0.4343240780896478,0.9622629473580896,0.5702304426959615,0.0563916234835343,0.011363636363636364,0.007894736842105263
lr_compact,logistic,compact,63,2022,0.5526315789473685,0.40434701064780204,0.9764789655335906,0.5804250367272504,0.05486240629027166,0.011494252873563218,0.002631578947368421
lr_compact,logistic,compact,63,2023,0.5815789473684211,0.4317825995315814,0.92920648231832,0.5464438518642453,0.03295900228367296,0.012195121951219513,0.007894736842105263
lr_compact_decay5,logistic,compact,63,2018,0.5789473684210527,0.4333286921006219,0.9129784625887489,0.536825589790501,0.0480375104864311,0.028169014084507043,0.013157894736842105
lr_compact_decay5,logistic,compact,63,2019,0.5263157894736842,0.4004661293292772,0.9894285641498433,0.5864024169299192,0.03152356031768677,0.021739130434782608,0.018421052631578946
lr_compact_decay5,logistic,compact,63,2020,0.49736842105263157,0.3735888294711824,1.047353108341973,0.6210228638091353,0.06450749792277312,0.012048192771084338,0.013157894736842105
lr_compact_decay5,logistic,compact,63,2021,0.55,0.4187248748652257,0.9672664892593871,0.5737069851676766,0.0509005915454265,0.011363636363636364,0.007894736842105263
lr_compact_decay5,logistic,compact,63,2022,0.5394736842105263,0.39854710425819045,0.9792759165227866,0.582539194138936,0.02807109771559565,0.011494252873563218,0.007894736842105263
lr_compact_decay5,logistic,compact,63,2023,0.5736842105263158,0.43429725084401344,0.9397583509462324,0.553252093064005,0.02584078210257051,0.024390243902439025,0.02368421052631579
lr_compact_draw110_decay5,logistic,compact,63,2018,0.5684210526315789,0.42663636721100334,0.9191604992181492,0.540643339065791,0.03453825338048382,0.028169014084507043,0.03684210526315789
lr_compact_draw110_decay5,logistic,compact,63,2019,0.5210526315789473,0.4040261262021934,0.990075911349116,0.5865110242984629,0.02970147728007413,0.03260869565217391,0.031578947368421054
lr_compact_draw110_decay5,logistic,compact,63,2020,0.48947368421052634,0.3695427669913811,1.050243940129703,0.6217724200820385,0.05127281309588944,0.012048192771084338,0.02368421052631579
lr_compact_draw110_decay5,logistic,compact,63,2021,0.5473684210526316,0.4241798502852993,0.9691286383925992,0.5749150558280958,0.041236987539394726,0.022727272727272728,0.02368421052631579
lr_compact_draw110_decay5,logistic,compact,63,2022,0.5447368421052632,0.4204355310730598,0.9802337949693138,0.583032510645364,0.024955465155115795,0.04597701149425287,0.021052631578947368
lr_compact_draw110_decay5,logistic,compact,63,2023,0.5631578947368421,0.43534910716859093,0.942414357705585,0.5555195434968477,0.022559884826334503,0.036585365853658534,0.039473684210526314
xgb_compact_depth2,xgboost,compact,63,2018,0.5789473684210527,0.4454783567686793,0.9085026981017147,0.5330365403071217,0.04478082939198142,0.056338028169014086,0.018421052631578946
xgb_compact_depth2,xgboost,compact,63,2019,0.531578947368421,0.39913141341712777,0.9780327478011127,0.5788696191126808,0.03380301030058612,0.010869565217391304,0.015789473684210527
xgb_compact_depth2,xgboost,compact,63,2020,0.5026315789473684,0.36840006135910414,1.0331481643110294,0.6124611262718525,0.06871594927812877,0.0,0.005263157894736842
xgb_compact_depth2,xgboost,compact,63,2021,0.5473684210526316,0.40846851974828446,0.9737763661145906,0.576610737108503,0.06645749556390862,0.0,0.007894736842105263
xgb_compact_depth2,xgboost,compact,63,2022,0.55,0.4001567398119123,0.9671601667154457,0.5747072472357981,0.06044041310486042,0.011494252873563218,0.002631578947368421
xgb_compact_depth2,xgboost,compact,63,2023,0.5868421052631579,0.429534476017506,0.9417924247727557,0.5538846273425619,0.04343333071783971,0.0,0.007894736842105263
xgb_compact_depth3_decay5,xgboost,compact,63,2018,0.5789473684210527,0.4742773586812728,0.90911851977923,0.5333182547268946,0.0717797887952704,0.1267605633802817,0.05526315789473684
xgb_compact_depth3_decay5,xgboost,compact,63,2019,0.5394736842105263,0.41662734118680667,0.9760404738301367,0.5775872549120543,0.02576868439975537,0.03260869565217391,0.02894736842105263
xgb_compact_depth3_decay5,xgboost,compact,63,2020,0.4868421052631579,0.38846429424408885,1.038622373807025,0.6153040507974161,0.057354515790939344,0.060240963855421686,0.04473684210526316
xgb_compact_depth3_decay5,xgboost,compact,63,2021,0.5368421052631579,0.41837139211823565,0.98207933496994,0.5847994014694208,0.06328768196858857,0.022727272727272728,0.042105263157894736
xgb_compact_depth3_decay5,xgboost,compact,63,2022,0.55,0.42509599732877,0.9745219742857607,0.5789237255874728,0.02693098854077491,0.04597701149425287,0.02631578947368421
xgb_compact_depth3_decay5,xgboost,compact,63,2023,0.5973684210526315,0.4537946090892226,0.9468939937681886,0.5575969768307939,0.06687269132388265,0.024390243902439025,0.02368421052631579
xgb_compact_draw110_decay5,xgboost,compact,63,2018,0.5684210526315789,0.4758303225401392,0.9146308908236358,0.5364047145960027,0.06207474438767682,0.15492957746478872,0.08947368421052632
xgb_compact_draw110_decay5,xgboost,compact,63,2019,0.5421052631578948,0.4424567129101065,0.9782087542101953,0.5783573571996624,0.03819435693715748,0.08695652173913043,0.05526315789473684
xgb_compact_draw110_decay5,xgboost,compact,63,2020,0.4868421052631579,0.39781966626750337,1.0426942068342335,0.6169457351382931,0.06100662876116601,0.08433734939759036,0.06578947368421052
xgb_compact_draw110_decay5,xgboost,compact,63,2021,0.5263157894736842,0.43106171236488455,0.9828141545690411,0.585539737976911,0.07362256787325207,0.06818181818181818,0.07894736842105263
xgb_compact_draw110_decay5,xgboost,compact,63,2022,0.5526315789473685,0.43226598894457346,0.9739087567931491,0.5790233828560142,0.041312616122396346,0.05747126436781609,0.03684210526315789
xgb_compact_draw110_decay5,xgboost,compact,63,2023,0.5921052631578947,0.45225870237596005,0.9486461880379965,0.5587149522980386,0.05504542173523652,0.024390243902439025,0.034210526315789476
xgb_full_decay5,xgboost,full,243,2018,0.5578947368421052,0.44949081891093295,0.9297552046018793,0.5476340743286703,0.028559361947210204,0.09859154929577464,0.05526315789473684
xgb_full_decay5,xgboost,full,243,2019,0.5368421052631579,0.4080560712866106,0.9846147918313441,0.5812900012296924,0.022262270434906608,0.021739130434782608,0.02631578947368421
xgb_full_decay5,xgboost,full,243,2020,0.48157894736842105,0.3740578831545995,1.0268383560479715,0.6078726670759634,0.07210441176828583,0.03614457831325301,0.039473684210526314
xgb_full_decay5,xgboost,full,243,2021,0.5184210526315789,0.4051580029630583,1.0003196619117696,0.5949307287090043,0.04715522402211239,0.022727272727272728,0.04736842105263158
xgb_full_decay5,xgboost,full,243,2022,0.5710526315789474,0.44503542977520455,0.9761593896025643,0.5797699556230613,0.06424136248074079,0.05747126436781609,0.02631578947368421
xgb_full_decay5,xgboost,full,243,2023,0.5684210526315789,0.42443577423974066,0.9417076824101261,0.5553204736003505,0.02588109609327819,0.012195121951219513,0.021052631578947368
